"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed May 01 00:37:13 BST 2024","Wed May 01 00:37:15 BST 2024","2499","","launch android app","","","","Find element by Accessibility ID",""
"passed","Wed May 01 00:15:52 BST 2024","Wed May 01 00:15:57 BST 2024","5711","","launch android app","","","","enter text",""
